s1,s2,stance
مصرع 24 تلميذا إثر انقلاب قارب في نهر النيل بشمال السودان,نجاة 24 تلميذا من حادث انقلاب قارب في نهر النيل شمال السودان,disagree
العثور على الطاهي والنجم التلفزيوني الشهير أنتوني بوردين ميتا وشكوك حول انتحاره,الطاهي والنجم التلفزيوني الشهير أنتوني بوردين وُجد مقتولا,disagree
شركة صينية غامضة تقلق العالم.. وترعب أميركا,رعب أميركي والسبب شركة صينية غامضة,agree
اللبنانيون المغتربون يدلون بأصواتهم لأول مرة في الانتخابات,اللبنانيون المغتربون يشاركون فى الانتخابات لأول مرة,agree
لا يوجد دور فعلي لمرشحات برلمان لبنان!,مرشحات برلمان لبنان يقدن البرلمان,disagree
من هي سمر بدوي التي أدى اعتقالها إلى أزمة بين السعودية وكندا؟,تفاقم الأزمة بين كندا والسعودية نتيجة إعتقال سمر بدوي,agree
الاتفاق النووي مع إيران لم يمت رغم انسحاب واشنطن,رغم انسحاب واشنطن من الاتفاق النووى فأنه لم يمت مع إيران,agree
النفط يستقر بفعل تحركات المتعاملين,عزوف المتعاملين يهدد استقرار النفط,disagree
اتفاق جديد يدعم مصر بـ3 مليارات دولار,مصر  تفقد اتفاقا بملياري دولار,disagree
كوريا الجنوبية ترسل سفينة لمكافحة قرصنة إلى ليبيا لإنقاذ مهندس مخطوف,سفينة لمكافحة قرصنة من كوريا الجنوبية تبحر إلى ليبيا لإنقاذ مهندس مخطوف,agree
ليبيا تعلن الاتفاق على إجراء انتخابات رئاسية وبرلمانية في ديسمبر المقبل,ليبيا تعلن تأجيل إجراء انتخابات رئاسية وبرلمانية,disagree
السعودية تشيد دارا للأوبرا ضمن استثمارات ترفيهية تكلفتها 64 مليار دولار,شيدت السعودية دارا للأوبرا تكلفت 64 مليار دولار ضمن استثمارات ترفيهية,agree
استقرار أسعار النفط بدعم من تحركات متعاملين,النفط يستقر بفعل تحركات المتعاملين,agree
ارتفاع على النفط و٨٠ دولارا للبرنت,انخفاض آخر على أسعار النفط عالميا,disagree
إيرادات قناة السويس ترتفع بشكل ملحوظ,إيرادات نفط السويس ترتفع بشكل ملحوظ,disagree
البحرين تجرد 115 شخصا من جنسيتها لإدانتهم في قضية كتائب ذو الفقار,براءة 115 شخصا فى البحرين بعد تورطهم في قضية كتائب ذو الفقار,disagree
علم قطر على شعار مناورات درع الخليج 1 في السعودية,وضع علم قطر على شعار مناورات درع الخليج 1 المقامة في السعودية,agree
جدلاً واسعاً بسبب القس الذي قاد صلاة افتتاح السفارة الأمريكية في القدس,جدلاً واسعاً بسبب القس الذي قاد صلاة افتتاح السفارة الروسية في القدس,disagree
أسعار الوقود ترتفع في مصر,مصر تخفض أسعار الوقود,disagree
قتل محتج بالبصرة في مظاهرات تطالب بمكافحة الفساد وتحسين الخدمات,مظاهرات سلمية ناجحة للمطالبة بمكافحة الفساد بالبصرة,disagree
العراق: مصادرة ممتلكات صدام حسين وآلاف من المسؤولين السابقين,العراق تعلن مصادرة ممتلكات الرئيس السابق صدام حسين وآلاف من المسؤولين السابقين,agree
إيران: مقتل 5 من أفراد الشرطة في اشتباكات مع صوفيين,مصر: حبس ضابطين و4 أمناء شرطة في قضية مقتل محتجز,other
السلطات السعودية تعتقل 7 ناشطين بينهم 3 نساء لتواصلهم مع جهات أجنبية مشبوهة,أعتقلت السلطات السعودية 7 ناشطين من بينهم 3 نساء بتهمة التواصل مع جهات أجنبية مشبوهة,agree
انتخاب برهم صالح رئيسا للعراق,برهم صالح رئيسا للعراق,agree
منافسة محرم اينجه في الإنتخابات ضد أردوغان,تأييد المعارضة في تركيا لأردوغان في الإنتخابات الرئاسية,disagree
دعوة للمدنيين في الغوطة الشرقية من الجيش السوري للرحيل,الجيش السوري يسمح للمدنيين في الغوطة الشرقية بالبقاء,disagree
ما هي أهم بنود الاتفاق النووي الإيراني؟,إيران تلغي الاتفاق النووي,disagree
أوبك: تخمة النفط انتهت,اوبك: تخمة النفط ترتفع,disagree
الحرب السورية تخلف أكثر من نصف مليون قتيل منذ اندلاعها,الحرب السورية تخلف دمار دون وقوع قتلى,disagree
الحرب في اليمن: عمليات نزوح واسعة من مناطق القتال في الحديدة,المدنيين فى الحديدة يبقون فى أماكنهم رغم عمليات القتال,disagree
إنفوغرافيك.. الليرة التركية تغوص نحو المجهول,إنفوغرافيك يبين ذهاب الليرة التركية إلى المجهول,agree
عناصر قتالية كردية تغادر مدينة منبج السورية,أردوغان: مقاتلون إسرائليون يغادرون مدينة منبج السورية,disagree
الحرب الصينية الأميركية تطيح الأسهم الأوروبية,الأسهم الأوروبية ضحية الحرب بين واشنطن وبكين,agree
مجلس الأمن يؤجل التصويت على الهدنة الإنسانية في سوريا,الحرب في سوريا: الحكومة تقبل طلب تفاوض تقدم به مسلحو جيش الإسلام في دوما,other
الصين تخفض رسوم استيراد السيارات الجمركية,تخفيض الجمارك الصينية على السيارات,agree
تراجع فادح للريال الإيراني.. وطوابير أمام مكاتب الصرافة,أزمة لمحال الصرافة يسببها تراجع الريال,agree
أعلنت روسيا مغادرة مفتشو منظمة حظر الأسلحة الكيماوية دمشق متجهين إلى دوما,روسيا تأجل زيارة مفتشي منظمة حظر الأسلحة الكيماوية إلى دوما,disagree
